Gender,Ethnicity,Country,h-index,Citation count,Co-authors’ genders (Google Scholar),Co-authors’ ethnicity (Google Scholar),Co-authors’ genders (OpenAI),Co-authors’ ethnicity (OpenAI),Match Count 50%,Match Count 60%,Match Count 70%,Match Count 80%
Male,White,Germany,76,28014,"Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Female, Male, Female, Male, Male, Male, Male, Male, Male, Male, Female, Female, Female","White, Black, Asian, White, White, White, White, White, Asian, Black, Asian, White, Black, Black, White, White, White, Asian, Asian, Asian, Asian, White, Asian, Hispanic, Hispanic, White, Hispanic, White","Male, Male, Male, Male, Male, Male, Male, Female, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male","Black, White, White, White, White, Black, Asian, White, White, White, White, Asian, White, White, White, White, White, Asian, Asian, White, Hispanic, White, White, White, White, White, White",16,6,3,3
Male,White,France,24,3029,"Male, Male, Male, Female, Male, Male, Male, Male, Male, Female","Hispanic, Hispanic, Hispanic, Hispanic, Asian, Asian, Asian, White, White, Asian","Male, Male, Male, Male, Male, Male, Male","Asian, White, Black, Black, Black, Asian, Asian",3,1,1,0
Male,Asian,Italy,32,4919,"Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male","Asian, Hispanic, Hispanic, Asian, Hispanic, Hispanic, Hispanic, White, Asian, Asian, Asian, Asian, Asian, Hispanic, Asian, Asian, Hispanic, Hispanic, Hispanic, Asian, Asian, Asian, Hispanic, Hispanic, Asian, White, White, White, White, White, White, Hispanic, White, Hispanic","Male, Male, Female, Male, Female, Female, Male, Male, Male, Female, Female, Female, Male","Asian, Hispanic, White, White, Hispanic, White, Asian, Hispanic, White, Hispanic, White, White, Hispanic",10,5,2,0
Male,White,UK,11,507,"Male, Female, Male, Female, Female, Male, Female, Male, Female, Female, Male","Asian, Asian, Asian, Asian, White, White, Asian, Asian, Asian, Black, Hispanic","Male, Male, Male, Male, Male, Male, Male","White, White, Hispanic, Hispanic, Asian, White, Hispanic",3,0,0,0
Male,White,UK,8,251,"Male, Female, Female, Male, Male, Male, Male, Male, Male, Male","Hispanic, Black, Hispanic, Hispanic, White, White, Hispanic, Hispanic, Hispanic, Black","Male, Female, Female, Male, Female, Male, Female","Asian, Hispanic, White, Hispanic, White, Hispanic, Hispanic",2,2,0,0
Male,White,USA,36,4472,"Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Female, Male, Male, Male, Female, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Female, Male, Male, Male, Female, Male, Male, Male","White, White, Asian, White, Asian, White, White, White, White, Black, White, Asian, White, Asian, Asian, White, Black, White, White, White, White, Hispanic, Asian, White, Hispanic, White, Asian, White, Asian, Hispanic, Asian, White, Asian, Black, Asian, White, Black, White, Hispanic, Black, White, Black, Asian, White, Asian, White, White, White, Black, Asian, White, White, Asian","Male, Male, Male, Male, Male, Female, Male, Female, Male, Male, Female, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male","White, Asian, White, White, Asian, White, White, White, White, White, White, White, White, White, Hispanic, White, White, White, White, White, Asian, White, White, White, White, Hispanic, White, White, Hispanic, White",25,9,5,2
Male,White,Germany,42,5950,"Male, Male, Male, Male, Female, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","White, White, White, Asian, Asian, Black, Hispanic, White, Hispanic, Hispanic, Asian, White, Black, Hispanic, White, White, Black, Black, White, White, White, White, White, Asian, White","Male, Male, Male, Male","Hispanic, Hispanic, Asian, White",3,1,0,0
Male,White,Germany,15,795,"Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Female, Male, Male, Male, Female","White, White, White, Asian, White, White, Asian, Black, Asian, White, Asian, Asian, Asian, White, Asian, White, White","Female, Female, Male, Male, Male, Male, Male, Male, Male, Female, Female, Male, Male, Male, Female, Male","White, Asian, Hispanic, Hispanic, White, White, White, White, White, White, White, White, White, White, White, Black",5,2,0,0
Female,Hispanic,Germany,15,692,"Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Female, Male, Male, Male, Male, Female, Male, Female, Male, Male, Male, Female, Male, Female, Male, Male, Female, Male, Male, Male, Male","White, White, White, White, Asian, White, White, Asian, Asian, White, Asian, Hispanic, Asian, Asian, Black, Asian, White, White, White, White, Asian, Asian, White, White, Asian, White, White, Black, Black, White, Hispanic, White, Asian, Hispanic, White","Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","Hispanic, Hispanic, Hispanic, Hispanic, Hispanic, Hispanic, Hispanic, Asian, White, White, White, White, Hispanic, Black, White, White, White, White, White, White, White, White, White, White, White, White, Black, White, White, White, Asian, Asian, Asian, Black",17,6,4,2
Male,Asian,Iran,44,5233,"Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","Asian, Hispanic, Asian, Asian, Asian, Hispanic, Asian, Asian, Asian, Black, Asian, Asian, Asian, Asian, Asian, Asian, Asian, Asian, Asian, Asian, Asian, Asian, Asian, Hispanic, Asian, Asian, Asian, Asian, Asian, Asian, Hispanic, Asian",Male,Asian,1,1,0,0
Male,Asian,UK,13,892,"Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Female, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male","White, Asian, Asian, Hispanic, White, Asian, Asian, White, Asian, White, White, Hispanic, White, White, Asian, Asian, Hispanic, Hispanic, Asian, Hispanic, Asian, Asian, Black, Asian, Asian, Asian, Asian, Asian, White, Asian, Asian, Asian, Asian, Asian, Asian, Asian, Black, Asian","Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","Hispanic, White, Asian, Asian, Asian, Black, Black, White, White, Black, Asian, Asian, Asian, Asian, Asian, Asian, Asian, Asian, White, White, Black, Asian, Hispanic, White, Black, Asian, White, White, White, Hispanic",11,6,1,1
Female,White,USA,32,9229,Female,Hispanic,"Male, Male, Male, Male","White, Black, White, Hispanic",0,0,0,0
Male,Asian,USA,8,443,"Male, Male, Male, Male, Male, Male, Male, Male","White, Asian, Hispanic, Black, Black, Hispanic, White, White","Male, Male, Male, Male, Female, Female, Female","Asian, Asian, Asian, Asian, Asian, Asian, Asian",2,0,0,0
Female,Asian,Swiss,16,1621,"Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Female, Male, Male, Male, Female, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Female, Male, Male, Male, Male, Male","White, White, White, White, Black, White, White, White, Asian, White, Asian, Asian, Asian, Hispanic, Asian, White, Asian, Hispanic, Asian, White, White, Black, White, White, White, White, Asian, Asian, Hispanic, White, Black, Hispanic, Black, Asian, Asian, White, Asian, White, Asian, Asian","Female, Male, Male, Male, Male, Male, Male","Asian, White, White, White, White, White, Hispanic",5,0,0,0
Male,Hispanic,USA,26,5325,"Female, Male, Male, Male, Male, Male, Female, Male, Male, Female, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Female, Male, Male, Male, Male, Female, Male, Female, Male, Male, Male, Female, Female, Female, Female, Female, Female, Female, Female, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Female, Female, Male, Male, Male, Male, Male, Male, Female, Female","Asian, White, Black, Black, Asian, Asian, Hispanic, Asian, Hispanic, Asian, Asian, White, Asian, Asian, Black, Hispanic, Hispanic, Asian, White, White, Asian, White, White, Asian, Hispanic, Asian, Asian, White, Black, Hispanic, White, Hispanic, Hispanic, Hispanic, Asian, Asian, Asian, Asian, Asian, White, Hispanic, Asian, White, White, Asian, Asian, Black, White, White, White, White, Black, Hispanic, Hispanic, Hispanic, White, White, Asian, Asian, Asian, Asian, White","Male, Male, Male, Male, Male, Female, Male, Male, Male, Female, Female, Male, Male, Female, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","White, White, Hispanic, Asian, Asian, White, White, White, Asian, White, Asian, Asian, Asian, Asian, White, Asian, Hispanic, White, Black, White, White, White, White, White, White, White, White, White, Hispanic, Asian, White, White, White, Hispanic, White, Hispanic, White, White, White, Hispanic",25,13,4,4
Male,Black,Denmark,8,433,"Female, Female, Male, Male, Male","White, White, Asian, Asian, White","Male, Male, Male, Male","Asian, Asian, Asian, Asian",1,1,0,0
Male,Asian,Germany,13,761,"Male, Male, Male, Male, Female, Male, Male, Male, Female, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male","White, White, White, White, Asian, Black, White, Asian, White, Asian, White, White, Asian, White, White, White, Asian, White, White, White, Asian, White, Asian, White, White","Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","Asian, White, White, Black, Asian, Black, Asian, White, White, Asian, White, Black, White, White, Black, White, White, Black, White",9,5,2,1
Male,Asian,Hungary,31,4625,"Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","White, Asian, Asian, Asian, Asian, Asian, Asian, Asian, Asian, White, White, Asian, White, Asian, Asian, Asian, White, White, Asian, Asian, Hispanic, Hispanic, Asian, Asian, White, White, Asian, White, White, Asian, Black, Hispanic","Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","White, White, Asian, White, Asian, Asian, Asian, Black, Asian, White, Black, Asian, Asian, Asian, White, Black, White",6,3,2,1
Female,Hispanic,Italy,60,30880,"Male, Male, Male, Female, Female, Male, Male, Male, Male, Male","Hispanic, Hispanic, Black, Hispanic, Hispanic, White, Black, Asian, Hispanic, Hispanic","Male, Male, Male","Black, White, Black",1,0,0,0
Male,White,Germany,44,6829,"Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Female, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Female, Male, Male, Male, Female, Male, Male, Female, Female, Male, Female, Male, Male, Male, Male, Male, Male, Female, Male, Male, Female, Female, Male, Female, Male, Male, Female, Female","Asian, Asian, Asian, Black, White, White, White, White, White, Asian, White, Asian, White, White, Asian, Asian, Asian, Hispanic, White, Black, White, White, Black, White, Black, Black, Black, White, Hispanic, Asian, Black, White, White, White, White, White, Hispanic, White, Hispanic, White, White, White, White, Asian, Black, White, Asian, Asian, Black, Asian, Black, White, Asian, White, Asian, White, Black, Black, Hispanic, White, White, Asian, White, White, White, White, Black, White, White, White, Asian, Asian, White, White, Black, White, Black, White, White, White, Black, Black, Asian","Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","White, White, Hispanic, White, Asian, White, Hispanic, White, White, Black, Black, Hispanic, White, Asian, Asian, Hispanic, White, Hispanic, Asian, White, White, Hispanic, Black, Hispanic, Hispanic, White, White, Asian",23,15,4,1
Male,Hispanic,UK,14,562,"Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male","Hispanic, Hispanic, Hispanic, Hispanic, Asian, Hispanic, White, Hispanic, Asian, Hispanic, Asian, White, White, Asian, Hispanic, Hispanic, Hispanic, Hispanic, Black, Hispanic, Hispanic, Asian, Asian, Hispanic, White, Black, White, Asian, White, White, White, Asian, Black, Black, Asian, Black, White","Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Female","Hispanic, White, White, White, Asian, Black, Hispanic, White, White, White, White, Asian, White, White, White, White, White, White, Hispanic, White, White, White, Hispanic",13,5,1,0
Male,Asian,Sweden,14,597,"Female, Male, Male, Male, Male, Male, Male, Female, Male, Male, Female, Male, Female, Male, Female, Male, Male, Male, Male, Male, Male, Female, Male, Male, Female, Female, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Female, Female, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Female, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Female, Male, Male, Male, Female, Male, Female, Female, Male, Female","White, White, Asian, Asian, Asian, White, White, Black, Asian, Asian, Hispanic, Asian, White, Asian, Hispanic, Black, Asian, White, White, Black, White, Hispanic, White, White, Asian, White, Asian, Hispanic, Asian, White, Asian, White, White, Asian, White, White, Hispanic, Asian, Black, White, Asian, White, White, Hispanic, White, White, Black, White, Asian, Asian, White, White, Asian, White, Asian, White, Asian, White, Hispanic, White, Black, Asian, White, Hispanic, Asian, Asian, Asian, Asian, White, Asian, White, Hispanic, Asian, Asian, White, Asian, Hispanic","Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Female, Female, Female, Female, Female, Female, Female, Female, Female, Female","White, Black, White, White, White, White, White, Asian, Asian, Asian, Asian, Asian, Asian, White, White, White, White, Asian, White, White, White, White, White, White, White, White, Asian, Asian, Black, Black, White, White, White, Asian, Black, White, White, White, White, White, White, White, White, White, White, White, White, Black, White, Black, Black, Black, White, Black, Black, Black, Asian, Black, Black, White, Asian, Asian, Black, Asian, White, White, Black, White, White, White, Asian",29,12,3,2
Male,Asian,UK,28,3642,"Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","White, White, White, White, Asian, Asian, White, White, White, White, Black, White, White, White, White, White, White, White, White, White, White, Black, Asian, Asian, White, Asian","Male, Male, Male, Male, Male, Male, Male","White, White, White, White, White, White, Black",6,4,3,3
Female,White,Germany,72,21589,"Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male","Asian, White, White, White, White, White, White, Black, White, Black, Asian, White, White, Hispanic, White, White, Black, White, Asian, Hispanic, Hispanic, Asian, Asian, White, White, Asian, Asian, Asian, White, White, Asian, Black, Asian, Asian, Black, White, White, White, Asian, Asian, Asian, Black, Black, White, Hispanic, White","Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","Asian, White, White, Black, White, White, White, White, Hispanic, White, Asian, White, Asian, Black",11,5,2,1
Female,Hispanic,UK,10,494,"Male, Male, Male, Male, Male, Female, Female, Male, Female, Male, Male, Female, Male, Male, Male, Male, Male, Male","White, White, White, Black, Hispanic, Black, Asian, Asian, White, Hispanic, Asian, White, Asian, Asian, Black, Black, White, Hispanic","Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","White, White, Hispanic, White, Hispanic, White, White, White, White, White, White, White, White, White, White, White, White",5,1,0,0
Female,White,Germany,5,179,Male,Asian,"Male, Male, Male","Hispanic, White, Hispanic",0,0,0,0
Male,White,USA,17,1209,"Male, Male, Male, Male, Female","White, Asian, Black, White, Hispanic","Male, Male","White, Hispanic",0,0,0,0
Male,Black,France,20,1215,"Female, Female, Male, Male, Male, Male, Female, Male, Male, Female, Female, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Female, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Female, Male","Asian, White, Black, Hispanic, White, Black, White, Asian, Asian, Asian, Asian, Hispanic, Black, Asian, Hispanic, Hispanic, Asian, Asian, Hispanic, White, Hispanic, Asian, Asian, Hispanic, Hispanic, Asian, Asian, Asian, Asian, Black, Black, Asian, Asian, White, Asian, Black, White, Hispanic, Hispanic, Asian, White, Asian, Hispanic","Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","Black, Black, Black, Asian, Asian, Hispanic, Hispanic, Hispanic, Black, Hispanic, Hispanic, Black, Asian",7,1,1,0
Male,Hispanic,Italy,18,1132,"Male, Male, Male, Female, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male","Hispanic, Asian, Asian, White, White, White, Hispanic, Asian, Hispanic, Hispanic, White, Hispanic, Asian, White, White, Asian, Hispanic","Male, Female, Female, Male, Male, Female, Female, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male","Asian, White, Hispanic, Hispanic, Hispanic, Hispanic, White, Hispanic, Hispanic, White, Hispanic, White, Hispanic, Hispanic, White, Hispanic, Asian",9,2,1,1
Male,White,Germany,52,11532,"Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male","Asian, White, Asian, Asian, Asian, White, Asian, White, White, Black, White, White, Hispanic, White, White, White, White, Asian, Asian, Asian, Asian, White, White, White, Black, White, Black, White, White, White, Asian","Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male","White, Hispanic, White, Asian, White, White, White, White, White, White, White, White, White, Asian, White, White, White, Hispanic, White, White, White, White, White, White, White, White, White, Asian, Asian, Asian, Asian",12,5,1,1
Male,Black,USA,40,6366,"Male, Male, Male, Male, Male, Male, Male, Female, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Female, Female, Female, Male, Female, Female, Female, Male, Female, Male, Male, Female, Male, Female, Male, Male, Male, Male, Male, Female, Female, Female, Male, Female, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Female, Male, Male, Female, Male, Female, Male, Male, Male","White, White, Hispanic, White, Asian, Hispanic, Black, Asian, Asian, Asian, Asian, White, Asian, White, Black, White, White, White, Black, Hispanic, White, Asian, Hispanic, White, White, Asian, White, Asian, Hispanic, Black, White, Asian, Asian, Hispanic, Asian, Asian, Asian, Hispanic, White, Asian, Hispanic, White, White, White, Black, White, White, White, White, White, Asian, White, White, Asian, White, White, White, White, Asian, White, White, White, White, Black, Asian, Asian, Hispanic, White, White, Asian, White, White, White, Hispanic, Hispanic, White, White","Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","Hispanic, White, White, White, White, White, White, Asian, White, White, White, White, White, White, White, White, Asian, White, White, Asian, White, White, White, White, Black, White, Black, Black, White, White, White, White, White, White, White, Asian, White, Asian, White, White, White, White, White, White, White, White, White, White, White, Hispanic, White, White, White, White, White, White, White, White, Asian, White, White, White, Asian, Asian, Asian, Hispanic, Asian, White, White, Asian, White, White, Asian, Hispanic, White, White",48,20,5,2
